"ID","site","Serpentine","slope","aspect"
1,1.00,"S",14.00,132.00
2,2.00,"S",3.00,160.00
3,3.00,"S",7.00,130.00
4,4.00,"S",4.00,185.00
5,5.00,"S",5.00,245.00
6,6.00,"S",7.00,270.00
7,26.00,"S",7.00,90.00
8,27.00,"S",4.00,240.00
9,28.00,"S",3.00,190.00
10,29.00,"S",10.00,180.00
11,30.00,"S",20.00,100.00
12,31.00,"S",16.00,118.00
13,32.00,"S",21.00,166.00
14,33.00,"S",32.00,180.00
15,44.00,"S",28.00,120.00
16,45.00,"S",18.00,60.00
17,46.00,"S",18.00,208.00
18,47.00,"S",16.00,94.00
19,48.00,"S",40.00,232.00
20,49.00,"S",37.00,222.00
21,55.00,"S",22.00,142.00
22,7.00,"S",16.00,148.00
23,8.00,"S",12.00,185.00
24,9.00,"S",5.00,220.00
25,10.00,"S",5.00,200.00
26,11.00,"S",5.00,245.00
27,12.00,"S",18.00,360.00
28,13.00,"S",7.00,70.00
29,14.00,"S",10.00,156.00
30,15.00,"S",12.00,92.00
31,16.00,"S",20.00,180.00
32,18.00,"S",,54.00
33,19.00,"S",3.00,152.00
34,20.00,"S",20.00,35.00
35,21.00,"S",15.00,10.00
36,22.00,"S",8.00,0.00
37,23.00,"S",15.00,10.00
38,24.00,"S",1.00,130.00
39,17.00,"N",12.00,70.00
40,34.00,"N",20.00,85.00
41,35.00,"N",40.00,145.00
42,36.00,"N",5.00,70.00
43,37.00,"N",5.00,81.00
44,61.00,"N",10.00,24.00
45,62.00,"N",7.00,130.00
46,63.00,"N",7.00,120.00
47,64.00,"N",5.00,190.00
48,65.00,"N",12.00,40.00
49,66.00,"N",23.00,260.00
50,77.00,"N",3.00,240.00
51,78.00,"N",5.00,260.00
52,79.00,"N",,
53,80.00,"N",,
54,38.00,"N",5.00,90.00
55,39.00,"N",5.00,82.00
56,40.00,"N",20.00,88.00
57,41.00,"N",10.00,88.00
58,42.00,"N",27.00,43.00
59,43.00,"N",20.00,98.00
60,50.00,"N",20.00,240.00
61,51.00,"N",23.00,206.00
62,52.00,"N",10.00,244.00
63,56.00,"N",22.00,165.00
64,57.00,"N",23.00,100.00
65,58.00,"N",20.00,114.00
66,59.00,"N",8.00,45.00
67,60.00,"N",8.00,190.00
68,25.00,"N",5.00,100.00
69,67.00,"N",20.00,170.00
70,68.00,"N",16.00,230.00
71,69.00,"N",5.00,20.00
72,70.00,"N",5.00,20.00
73,71.00,"N",5.00,318.00
74,72.00,"N",16.00,138.00
75,73.00,"N",10.00,222.00
76,74.00,"N",35.00,260.00
77,75.00,"N",17.00,58.00
78,76.00,"N",5.00,270.00
79,53.00,"N",10.00,185.00
80,54.00,"N",10.00,120.00
