,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE,FREQ,TREAT,REP,aircar,anaarv,avebar,bare,brach,brassp,brimin,brocar,brodia,camova,carpyc,cartum,cerglo,conarv,cynech,dancal,dung,erobot,esccal,gerdis,hollan,hornur,hypgla,hyprad,junbuf,junpat,junpha,linbie,lolmul,lupnan,lythys,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,stipul,solses,sonasp,sonole,thatch,triang,tridub,trisub,verpur,vicia,vulpia,Comments
elk,CL1,LL,1,,,3,,,,,,,,1,,,,,2,,74,,2,,,16,,,,,,,,,,,5,,,,,,,,,,1,,,,,,21,
elk,CL1,LL,2,,,10,,,,,,,,,,,,,17,,26,,,,,,14,,,,,,,,,,49,,,,,,,,,,3,,,1,,,10,
elk,CL1,LL,3,,,12,,,,,,,,1,,,,,4,,60,,1,,,1,,,,,,1,,,,,25,,1,,,,,,,,3,,,,,,16,
elk,CL1,SD,1,,1,24,3,2,,,,4,,3,,,,,,,57,,1,,,1,,,,,,2,,,,,5,,,,,,,,,1,,,,,,,23,
elk,CL1,SD,2,,,4,,,,,,2,,,,,,,13,,37,,,,,,7,,,,,1,,,,,43,,,,,,,,1,,1,,,1,,,8,
elk,CL1,SD,3,,11,1,,1,,,,1,,,,,,,6,,84,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,1,,,8,
elk,CLA,LL,1,,1,5,,20,,,,4,,2,,,,,,,45,,,,,14,,,,,,10,,,,,7,,,,,,,,,,1,,,,,,38,
elk,CLA,LL,2,,,1,1,4,,,,4,,,,,,,19,,13,,,,,,3,,,,,4,,,,,24,,,,,,,,,,2,,,,,,57,
elk,CLA,LL,3,,,7,2,1,,,,7,,,,,,,5,,36,,,,,7,,,,,,23,,,,,5,,,,,,,,,,,,,,,,53,
elk,CLA,SD,1,,,10,,3,,1,,9,,,,,,,1,,58,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,1,,,51,
elk,CLA,SD,2,,,,2,,,,,12,,,,,,,4,,32,,,,,13,,,,,,7,,,,,18,,,,,,,,,,7,,,,,,42,
elk,CLA,SD,3,,,1,1,37,,,,6,,,,,,,,,47,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,49,
elk,NM,LL,1,,6,1,,,,,,29,,27,,,,,,,21,,11,,,,2,,,2,,,,,,,,,42,,,,,,1,,,,,,,,6,
elk,NM,LL,2,,,,,1,,,,35,,,,,,,1,,7,,1,,,,,,,,,3,,,,,46,,4,,,,,,,,1,,,,,,44,
elk,NM,LL,3,,,12,,,,,,19,,,,,,,,,32,,3,,,8,,,,,,23,,,,,,,8,,,,,,,,7,,,,,,12,
elk,NM,LL,4,,,8,,6,,,,18,1,12,,,,,,,42,,,,,,1,,,,,20,,,,,2,,10,,,,,,,,,,,,,,39,
elk,NM,LL,5,,,32,,,,,,3,,28,,,,,,,33,,10,,,5,,,,,,6,,,,,,,,,,,,,1,,1,,,,,,23,
elk,NM,LL,6,,,1,,69,,,,11,,8,,,,,,,4,,1,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,17,
elk,CLB,LL,1,,,8,,7,,,,8,,5,,,,,,,42,,,,,13,,,,3,,6,,,,,,,3,,,,,,,,1,,,,,,30,
elk,CLB,LL,2,,,,,,,,,2,,,,,,,,,45,,,,,,6,,,,,32,,,,,,,16,,,,,,1,,,,,,,,56,
elk,CLB,LL,3,,,,,,,,,1,,1,,,1,,8,,13,,,,,,,,,,,1,,,,2,13,,1,,,,,,,,2,,,,,,86,
elk,CLB,SD,1,,9,13,,,,,,7,,17,,,,,,,33,,17,,,8,,,,,,2,,,,1,,,26,,,,,,,5,,,,,,,54,
elk,CLB,SD,2,,,,,,,,,6,,1,,,,,2,,42,,,,,,,,,,,20,,,,,1,,,,,,,,,,,,,1,,,47,
elk,CLB,SD,3,,1,3,,,,,,7,,,,,,,9,,56,,,,,,4,,,,,11,,,,,7,,7,,,,,,1,,,,,,,,51,
elk,CLC,LL,1,,,11,,,,,,3,,1,,,,,1,,51,,,,,1,,,,,,14,,,,,,,,,,,,,,,3,,,,,,50,
elk,CLC,LL,2,,1,1,7,,,,,,,,,,,,3,,45,,,,,11,,,,10,,19,,,,,6,,9,,,,,,,,1,,,,,,19,
elk,CLC,LL,3,,,1,1,16,,,,2,,,,,,,15,,33,,,,,,3,,,,,7,,,,,17,,,,,,,,,,2,,,,,,44,
elk,NM,SD,1,,3,1,,4,,,,19,,19,,,,,,,13,,,,,,,,,4,,1,,,,,,,,,,,,,,,8,,,,,,67,
elk,NM,SD,2,,,7,,6,,,,22,,10,,,1,,,,27,,2,,,4,,,,,,4,,,,,,,1,,,,,,,,7,,,,,,45,
elk,NM,SD,3,,,2,,1,,,1,11,,11,,,,,,,30,,2,,,1,,,,,,5,,,,,,,6,,,,,,,,7,,,,,,48,
elk,CONTROL,,1,,,4,,,,,,16,,8,,,,,,,51,,2,,,1,11,,,,,3,,,,,1,,13,,,,,,14,,,,,,,,22,
elk,CONTROL,,2,,1,4,,14,,,,32,,2,,,,,,,10,,2,,,,,,,,,,,,,,,,14,,,,,,,,13,,,,,,34,
elk,CONTROL,,3,,1,11,,2,,1,,3,,21,,,,,,,42,,6,,,,,,,,,2,,,1,,,,,,,,,,,,1,,,,,,43,
elk,GRAZED,,1,,,1,,,,,,1,,,,,,,,,17,,,,,,,,,,13,25,,,,,,,,,,,,,,,1,,,,,,71,
elk,GRAZED,,2,,,5,3,1,,,,24,,,,,,,2,1,32,,,,,,,,,,,15,,,,,,,,,,,,,,,5,,,,,,43,
elk,GRAZED,,3,,,1,,,,,,8,,,,,,,3,,7,,,,,,,,,,,16,,,,,,,1,,,,,,,,6,,,1,,,78,
